"ID","PlotNum","treatment","indicator","density"
"1",1,"grz","Plant",86
"2",2,"grz","Plant",47
"3",3,"grz","Plant",44
"4",4,"grz","Plant",24
"5",5,"grz","Plant",43
"6",6,"grz","Plant",62
"7",7,"grz","Plant",26
"8",8,"grz","Plant",49
"9",9,"grz","Plant",21
"10",10,"grz","Plant",21
"11",11,"grz","Plant",21
"12",12,"grz","Plant",30
"13",13,"grz","Plant",44
"14",14,"grz","Plant",35
"15",15,"grz","Plant",35
"16",16,"grz","Plant",191
"17",17,"grz","Plant",31
"18",18,"grz","Plant",65
"19",19,"grz","Plant",26
"20",20,"grz","Plant",22
"21",21,"grz","Plant",101
"22",22,"grz","Plant",216
"23",23,"grz","Plant",62
"24",24,"grz","Plant",69
"25",1,"grz","Seedhead",8
"26",2,"grz","Seedhead",16
"27",3,"grz","Seedhead",10
"28",4,"grz","Seedhead",8
"29",5,"grz","Seedhead",30
"30",6,"grz","Seedhead",9
"31",7,"grz","Seedhead",5
"32",8,"grz","Seedhead",9
"33",9,"grz","Seedhead",3
"34",10,"grz","Seedhead",9
"35",11,"grz","Seedhead",0
"36",12,"grz","Seedhead",1
"37",13,"grz","Seedhead",12
"38",14,"grz","Seedhead",15
"39",15,"grz","Seedhead",9
"40",16,"grz","Seedhead",22
"41",17,"grz","Seedhead",14
"42",18,"grz","Seedhead",58
"43",19,"grz","Seedhead",4
"44",20,"grz","Seedhead",6
"45",21,"grz","Seedhead",2
"46",22,"grz","Seedhead",14
"47",23,"grz","Seedhead",0
"48",24,"grz","Seedhead",0
"49",1,"ungrz","Plant",135
"50",2,"ungrz","Plant",89
"51",3,"ungrz","Plant",181
"52",4,"ungrz","Plant",91
"53",5,"ungrz","Plant",172
"54",6,"ungrz","Plant",347
"55",7,"ungrz","Plant",495
"56",8,"ungrz","Plant",413
"57",9,"ungrz","Plant",217
"58",10,"ungrz","Plant",266
"59",11,"ungrz","Plant",171
"60",12,"ungrz","Plant",74
"61",13,"ungrz","Plant",163
"62",14,"ungrz","Plant",39
"63",15,"ungrz","Plant",505
"64",16,"ungrz","Plant",570
"65",17,"ungrz","Plant",80
"66",18,"ungrz","Plant",172
"67",19,"ungrz","Plant",117
"68",20,"ungrz","Plant",77
"69",21,"ungrz","Plant",241
"70",22,"ungrz","Plant",102
"71",23,"ungrz","Plant",58
"72",24,"ungrz","Plant",107
"73",1,"ungrz","Seedhead",350
"74",2,"ungrz","Seedhead",315
"75",3,"ungrz","Seedhead",404
"76",4,"ungrz","Seedhead",494
"77",5,"ungrz","Seedhead",310
"78",6,"ungrz","Seedhead",564
"79",7,"ungrz","Seedhead",472
"80",8,"ungrz","Seedhead",722
"81",9,"ungrz","Seedhead",310
"82",10,"ungrz","Seedhead",375
"83",11,"ungrz","Seedhead",498
"84",12,"ungrz","Seedhead",76
"85",13,"ungrz","Seedhead",757
"86",14,"ungrz","Seedhead",272
"87",15,"ungrz","Seedhead",727
"88",16,"ungrz","Seedhead",757
"89",17,"ungrz","Seedhead",346
"90",18,"ungrz","Seedhead",373
"91",19,"ungrz","Seedhead",214
"92",20,"ungrz","Seedhead",210
"93",21,"ungrz","Seedhead",291
"94",22,"ungrz","Seedhead",88
"95",23,"ungrz","Seedhead",23
"96",24,"ungrz","Seedhead",186
